gene	RK10.3	RK11.3	RK12.2	RK12.3	RK7.1	RK7.2	RK8.1	RK8.2	RK2.1	RK2.2	RK3.1	RK3.2	RK4.1	RK4.2	RK6.1	RK6.2
ENSRNOG00000000433	4.53	4.97	3.04	3.56	4.49	4.97	6.94	5.24	4.31	5.5	6.29	5.82	4.84	3.6	4.17	3.38
ENSRNOG00000000435	48.09	52.73	55.01	50.28	46.18	48.26	40.46	51.75	49.77	51.58	45.96	43.4	49.23	51.75	50.73	50.2
ENSRNOG00000000436	13.15	19.61	23.06	19.88	26.77	21.51	31.9	23.93	18.3	15.15	18.53	16.93	15.79	12.7	13.94	16.07
ENSRNOG00000000437	100.34	103.02	100.12	107.31	108.05	102.29	89.53	110.84	91.59	101.43	91.26	94.19	88.78	101.76	99.08	112.73
ENSRNOG00000000438	204.81	191.59	189.99	207.5	167.77	169.31	136.01	165.14	180.7	183.24	169.84	161.93	162.54	152.65	187.99	182.91
ENSRNOG00000000439	0.84	1.81	2.17	0.97	3.64	0.41	5.89	5.26	6.16	0.63	5.01	7.21	0.25	2.71	1.65	2.54
ENSRNOG00000000440	15.48	15.75	18.76	16.98	18.37	19.47	21.97	24.79	16.35	18.73	15.45	16.78	16.51	21.68	22.41	19.67
ENSRNOG00000000441	6.07	3.94	4.43	3.33	9.96	9.76	14.79	9.86	5.95	5.99	6.72	4.94	9.8	10.5	13.66	8.09
ENSRNOG00000000442	3.19	3.25	2.5	3.55	3.92	4.68	3.58	5.61	2.96	3.38	3.09	3.08	3.12	4.21	4.55	3.71
ENSRNOG00000000443	14.61	10.53	11.06	12.58	208.53	158.14	149.16	157.08	49.24	42.41	48.56	52.2	171.02	237.46	140.18	170.83
ENSRNOG00000000446	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSRNOG00000000451	128.12	81.52	95.64	89.58	232.8	170.83	218	272.75	136.3	100.78	133.75	111.96	187.92	227.44	255.06	199.96
ENSRNOG00000000454	3.84	5.32	3.47	4.89	9.16	7	9.94	10.52	5.42	4.94	5.66	5.95	10.55	14.24	7.83	10.9
ENSRNOG00000000455	8.72	7.12	7.94	7.19	23.05	25.83	30.37	27.41	10.38	12.24	12.24	17.45	25.43	30.6	27.38	23.87
ENSRNOG00000000456	30.72	21.34	24.03	23.98	71.39	84.17	95.61	93.27	38.15	28	36.9	40.28	81.67	88.21	70.21	83.37
ENSRNOG00000000457	7.3	5.56	5	5.37	16.71	15.32	18.68	17.81	7.43	9.32	7.77	9.64	18.35	25.32	18.68	14.24
ENSRNOG00000000459	30.85	22.27	20.2	20.25	65.15	72.16	83.06	82.35	32.06	31.41	37.64	45.64	67.74	98.62	80.23	76.92
ENSRNOG00000000461	19.7	16.36	20.33	15.29	57.99	43.55	32.83	39.92	35.07	35.56	21.98	37.81	48.11	57.91	38.52	38.58
