Reporter Identifier	T00275905 normalised intensity	T00275905 quality flag
GE1107647	0.818	GOOD
GE1107656	11.059	GOOD
GE1107667	0.1	EMPTY
GE1107686	0.123	EMPTY
GE1107694	15.115	GOOD
GE1107710	44.43	GOOD
GE1107718	0.082	EMPTY
GE1107719	0.591	GOOD
GE1107726	0.204	EMPTY
GE1107730	1.865	GOOD
GE1107733	0.957	GOOD
GE1107744	0.126	EMPTY
GE1107746	2.45	GOOD
GE1107756	0.056	EMPTY
GE1107757	0.17	EMPTY
GE1107760	0.176	EMPTY
GE1107783	0.425	EMPTY
GE1107788	9.823	GOOD
GE1107793	0.798	GOOD
GE1107795	0.164	EMPTY
