Symbol	Vehicle_2_17_norm
A930001A20Rik	6.018027186
A930001C03Rik	5.717598275
A930004D18Rik	7.113786169
A930007I19Rik	7.367969657
A930015D03Rik	8.612388385
AA388235	7.203582839
AA414768	6.515526846
AA415398	7.813207394
AA465934	9.414380122
AA467197	5.389995964
AA536875	5.989458034
AA986860	9.302703886
AA987161	9.354030466
Aaas	9.389995964
Aacs	12.30125175
Aadac	12.40697304
Aadat	16.16375958
Aaed1	10.29979815
Aagab	11.26744278
Aak1	12.39441897
Aamdc	9.874745716
Aamp	12.85355157
Aar2	10.38448889
Aars	12.16418402
Aars2	9.376268981
Aarsd1	10.36796966
Aasdh	8.574420535
Aasdhppt	10.62288924
Aass	14.3912762
Aatf	10.00915995
Aatk	7.104921621
AB124611	8.508790253
Abat	14.09226429
Abca1	11.28297566
Abca12	8.79268507
Abca13	13.75698042
Abca14	7.974958464
Abca15	7.915457453
Abca16	7.045441079
Abca17	7.746481281
Abca2	11.99440879
